project_id,field_name,form_name,element_type,element_enum
225,fatigue,symptom_form,select,"Y, Yes \n N,No"
225,tiredness,symptom_form,select,"Y, Yes \n N,No"
225,nausea,symptom_form,select,"Y, Yes \n N,No"
225,vomiting,symptom_form,select,"Y, Yes \n N,No"
225,diabetes,comorbidities_form,radio,"Y, Yes \n N,No"
225,hbp,comorbidities_form,radio,"Y, Yes \n N,No"
225,cholesterol,comorbidities_form,radio,"1, Yes   \n 2, No"
225,alcohol_amount,demographics_form,checkbox,"1, <100 oz  \n 2, 100-200oz \n  3, >200oz"
225,tobacco_amount,demographics_form,checkbox,"1, >5 a day  \n 2, >1, a day \n  3, >pack a day"
225,gender,demographics_form,radio," 1, Male  \n 2, Female"
225,race,demographics_form,radio,"1, White \n  2, Black \n  3, Asian \n  4, Hispanic"
225,county,bmi_location_form,radio,"1, Erie  \n 2, Outside"
225,city,bmi_location_form,radio," 1, Buffalo  \n 2,Other"
225,age,bmi_location_form,radio,"1,>10  \n 2, 10-30 \n  3, 40-60 \n  60+"
225,height,bmi_location_form,radio,"1, < 50cm \n  2,50-100cm \n  3, 100-150 cm \n  4, >150cm"
225,weight,bmi_location_form,radio,"1,>100lb  \n 2, >100-150-lb \n  3, 150-200lb \n  4, >200lb"
225,metformin,drug_form,checkbox,"1, >1 year   \n 2, 1-2 years \n   3,>2years"
225,beta-blockers,drug_form,checkbox,"1, >1 year   \n 2, 1-2 years \n   3,>2years"
225,ibuprofen,drug_form,checkbox,"1, >1 year   \n 2, 1-2 years \n   3,>2years"
225,Docetaxel,drug_form,checkbox,"1, >1 year   \n 2, 1-2 years \n   3,>2years"
